deg,mi,mean,norm2,median
379.0,2.2521255812934378,0.2717994782874337,16.474976485338804,0.19196960767606155
406.0,2.212426726828671,0.31902523269757055,21.873870475945704,0.18126236033078227
129.0,2.3233359144331596,0.22062293006026626,14.537515857019605,0.13937367697444442
11.0,2.4166191855968946,0.17180482094689883,10.636494074685336,0.10763269344350773
17.0,2.4464564442011323,0.1818745251445008,11.766564394737129,0.11411817004400551
76.0,2.4073026388649916,0.19903891006840094,12.09219201440218,0.13493589442282655
0.0,2.5324282222680052,0.14514376337668763,9.739098586608554,0.08929083519962355
303.0,2.348825493121158,0.25112721025899243,14.687796692694373,0.17793685620486172
14.0,2.525948832213264,0.15944368014115945,10.6703791355276,0.10076090717746397
19.0,2.4582673777861768,0.17801588071807628,12.732462953326284,0.09716950670896546
384.0,2.2057966946476766,0.28885838043839684,17.591064151912466,0.1946849405800577
53.0,2.3868104377878145,0.18500763341769666,11.191720394906469,0.1263266693658443
128.0,2.325042640061774,0.20844487993354086,13.52475584760995,0.1358509605590568
51.0,2.376053127632799,0.21320284394420763,14.090698559122483,0.12997730792909623
57.0,2.3917440622278003,0.20544522121827533,13.461103329000622,0.12351336688725117
381.0,2.209927897567561,0.28418122814338037,17.87459955413964,0.19102656421001912
188.0,2.343607983143814,0.24220588006049718,16.203148594183098,0.15414456772218738
115.0,2.358411353822159,0.20691893015645282,13.671555415296142,0.13057866737578042
2.0,2.5371335354608417,0.1502983452945369,9.992379038750427,0.09254969110511248
19.0,2.480692944089953,0.1792331840029196,11.699436879217224,0.11250337495055407
73.0,2.402827201595742,0.20926636881796679,13.601815926311092,0.13764684003322156
295.0,2.247025513655834,0.2680272670316257,17.27504736046303,0.17423324194726378
343.0,2.2499983473116725,0.28670862534038716,17.617414677302904,0.18123947575263405
83.0,2.4226244600079783,0.2077549563640721,14.37425269034604,0.12175839971264302
