deg,mi,mean,mse,median
3244.0,1.6271614051888277,0.22469157717920057,38.72565429399675,0.15620865695794744
3302.0,1.550474571333912,0.2616498689431805,50.585081637198655,0.15171136066552976
1163.0,1.690487963543194,0.1852732252731168,35.55134890524715,0.10997589813463006
97.0,1.7723758104771778,0.1384409584251699,25.483566454688,0.08413674001525553
63.0,1.7764842643111212,0.13744992434145456,26.302209336256116,0.07984435256918418
533.0,1.734356419364466,0.1673855578149793,30.943117668323456,0.10673589598326894
5.0,1.8334793158049816,0.11350107053250512,22.825293918436156,0.06191154412098703
1507.0,1.718566904782736,0.18838769485802528,32.92695877218889,0.12806110410979443
90.0,1.785787582151709,0.1297104599433466,25.884208132890947,0.07167136943658885
152.0,1.7918809429117846,0.14166510985741818,29.146365107768744,0.074629748252527
2673.0,1.5850019747930988,0.235408956941566,43.88174262311949,0.14557152366676188
267.0,1.7635970202646574,0.1561028786849118,29.89612667170139,0.09281852780678927
1051.0,1.7021540754680577,0.17816076490254387,33.384731687031326,0.11053540648343137
660.0,1.7220573804709496,0.16635414177906077,31.085803116536752,0.10275405038528079
675.0,1.7393824235729827,0.16717508760584004,32.60794209559592,0.09488473524949058
3561.0,1.5650437043715688,0.24946374420099562,45.472177781126426,0.1624251472151185
1692.0,1.6672206679013697,0.198745060024309,38.55526070188352,0.11998972908443223
1210.0,1.6860118855070132,0.1837820384102337,34.89383573982767,0.1080675328632327
4.0,1.8229139664491743,0.1152509160940069,22.26901045266364,0.06580139731742804
163.0,1.7884610471909772,0.14251073440965778,27.114372967044478,0.08508093032852247
686.0,1.7520759090208462,0.16928142006600777,32.66772885172546,0.10128728817539655
2760.0,1.6452692376514368,0.23269342243322627,42.71661420817781,0.14684591866983834
2402.0,1.6413667361969426,0.20924240052841192,36.5940005304288,0.1396110263593982
847.0,1.710298645115668,0.1758840359385424,34.15795224529181,0.0994054515766307
