perturbation,Log2 fold change,FDR P value,Cell type affected,Known regulation of macrophage differentiation or CD14,References,screened_by_surdziel
KIAA1967,0,1,,Not reviewed,,not screened
WBSCR27,0,1,,Not reviewed,,not screened
LOC642749,0,1,,Not reviewed,,not screened
Hs.576804,0,1,,Not reviewed,,not screened
MIS12,0,1,,Not reviewed,,not screened
Hs.562875,0,1,,Not reviewed,,not screened
EID-3,0,1,,Not reviewed,,not screened
Hs.575687,0,1,,Not reviewed,,not screened
C2orf29,0,1,,Not reviewed,,not screened
RBL1,0,1,,Not reviewed,,not screened
MGC61598,0,1,,Not reviewed,,not screened
Hs.581604,0,1,,Not reviewed,,not screened
LOC653970,0,1,,Not reviewed,,not screened
Hs.46693,0,1,,Not reviewed,,not screened
Hs.583731,0,1,,Not reviewed,,not screened
C1QL1,0,1,,Not reviewed,,not screened
Hs.127678,0,1,,Not reviewed,,not screened
Hs.125998,0,1,,Not reviewed,,not screened
LOC644701,0,1,,Not reviewed,,not screened
Hs.60764,0,1,,Not reviewed,,not screened
ANKRD13D,0,1,,Not reviewed,,not screened
Hs.447634,0,1,,Not reviewed,,not screened
AMAC1,0,1,,Not reviewed,,not screened
LOC441408,0,1,,Not reviewed,,not screened
CX40.1,0,1,,Not reviewed,,not screened
SPRED3,0,1,,Not reviewed,,not screened
SSNA1,0,1,,Not reviewed,,not screened
Hs.458154,0,1,,Not reviewed,,not screened
C17orf42,0,1,,Not reviewed,,not screened
MPST,0,1,,Not reviewed,,not screened
CRKL,0,1,,Not reviewed,,not screened
LOC652211,0,1,,Not reviewed,,not screened
Hs.563304,0,1,,Not reviewed,,not screened
Hs.540897,0,1,,Not reviewed,,not screened
GRM5,0,1,,Not reviewed,,not screened
LMLN,0,1,,Not reviewed,,not screened
LOC650967,0,1,,Not reviewed,,not screened
A2BP1,0,1,,Not reviewed,,not screened
ARHGAP10,0,1,,Not reviewed,,not screened
RHOT1,0,1,,Not reviewed,,not screened
Hs.571630,0,1,,Not reviewed,,not screened
MGC17624,0,1,,Not reviewed,,not screened
ZFX,0,1,,Not reviewed,,not screened
LOC144817,0,1,,Not reviewed,,not screened
LOC442388,0,1,,Not reviewed,,not screened
FAM22F,0,1,,Not reviewed,,not screened
OTUD7,0,1,,Not reviewed,,not screened
MAPK11,0,1,,Not reviewed,,not screened
Hs.545663,0,1,,Not reviewed,,not screened
C11orf17,0,1,,Not reviewed,,not screened
Hs.436572,0,1,,Not reviewed,,not screened
MGC88374,0,1,,Not reviewed,,not screened
HFE2,0,1,,Not reviewed,,not screened
LOC651169,0,1,,Not reviewed,,not screened
LOC646176,0,1,,Not reviewed,,not screened
BTBD3,0,1,,Not reviewed,,not screened
Hs.539900,0,1,,Not reviewed,,not screened
Hs.576822,0,1,,Not reviewed,,not screened
LOC645320,0,1,,Not reviewed,,not screened
Hs.542573,0,1,,Not reviewed,,not screened
Hs.136788,0,1,,Not reviewed,,not screened
ORAOV1,0,1,,Not reviewed,,not screened
DMPK,0,1,,Not reviewed,,not screened
PAFAH2,0,1,,Not reviewed,,not screened
SYT1,0,1,,Not reviewed,,not screened
Hs.572017,0,1,,Not reviewed,,not screened
LOC648552,0,1,,Not reviewed,,not screened
LOC644366,0,1,,Not reviewed,,not screened
FLJ90650,0,1,,Not reviewed,,not screened
Hs.283188,0,1,,Not reviewed,,not screened
C17orf39,0,1,,Not reviewed,,not screened
Hs.191602,0,1,,Not reviewed,,not screened
Hs.570263,0,1,,Not reviewed,,not screened
Hs.384043,0,1,,Not reviewed,,not screened
LOC404266,0,1,,Not reviewed,,not screened
Hs.555225,0,1,,Not reviewed,,not screened
LOC641852,0,1,,Not reviewed,,not screened
SPARCL1,0,1,,Not reviewed,,not screened
Hs.132276,0,1,,Not reviewed,,not screened
DKFZp564J157,0,1,,Not reviewed,,not screened
Hs.132480,0,1,,Not reviewed,,not screened
Hs.323956,0,1,,Not reviewed,,not screened
ZNF445,0,1,,Not reviewed,,not screened
NAT2,0,1,,Not reviewed,,not screened
FXR1,0,1,,Not reviewed,,not screened
MELL1,0,1,,Not reviewed,,not screened
FBXO47,0,1,,Not reviewed,,not screened
Hs.208447,0,1,,Not reviewed,,not screened
Hs.573100,0,1,,Not reviewed,,not screened
Hs.163517,0,1,,Not reviewed,,not screened
PHF16,0,1,,Not reviewed,,screened
Hs.386544,0,1,,Not reviewed,,not screened
LOC440084,0,1,,Not reviewed,,not screened
Hs.561457,0,1,,Not reviewed,,not screened
LOC643082,0,1,,Not reviewed,,not screened
PHCA,0,1,,Not reviewed,,not screened
Hs.544464,0,1,,Not reviewed,,not screened
Hs.584077,0,1,,Not reviewed,,not screened
RAB27A,0,1,,Not reviewed,,not screened
SMYD1,0,1,,Not reviewed,,screened
FOXE3,0,1,,Not reviewed,,not screened
LYK5,0,1,,Not reviewed,,not screened
Hs.563360,0,1,,Not reviewed,,not screened
PPFIA1,0,1,,Not reviewed,,not screened
GARNL1,0,1,,Not reviewed,,not screened
C10orf87,0,1,,Not reviewed,,not screened
Hs.328931,0,1,,Not reviewed,,not screened
CD3G,0,1,,Not reviewed,,not screened
Hs.543813,0,1,,Not reviewed,,not screened
FLJ43582,0,1,,Not reviewed,,not screened
Hs.546134,0,1,,Not reviewed,,not screened
SLC25A34,0,1,,Not reviewed,,not screened
SERPINB11,0,1,,Not reviewed,,not screened
Hs.164030,0,1,,Not reviewed,,not screened
Hs.563898,0,1,,Not reviewed,,not screened
NKD2,0,1,,Not reviewed,,not screened
WWOX,0,1,,Not reviewed,,not screened
Hs.529150,0,1,,Not reviewed,,not screened
EPN3,0,1,,Not reviewed,,not screened
FCHO1,0,1,,Not reviewed,,not screened
Hs.562052,0,1,,Not reviewed,,not screened
DSCR5,0,1,,Not reviewed,,not screened
Hs.568868,0,1,,Not reviewed,,not screened
SSX3,0,1,,Not reviewed,,not screened
GAPDH,0,1,,Not reviewed,,not screened
TEX13A,0,1,,Not reviewed,,not screened
MC5R,0,1,,Not reviewed,,not screened
TLR9,0,1,,Not reviewed,,not screened
Hs.544563,0,1,,Not reviewed,,not screened
C9orf97,0,1,,Not reviewed,,not screened
APOBEC3G,0,1,,Not reviewed,,not screened
C21orf125,0,1,,Not reviewed,,not screened
PAN3,0,1,,Not reviewed,,not screened
GPR27,0,1,,Not reviewed,,not screened
Hs.561591,0,1,,Not reviewed,,not screened
TMC1,0,1,,Not reviewed,,not screened
SPTBN1,0,1,,Not reviewed,,not screened
LOC90379,0,1,,Not reviewed,,not screened
JM11,0,1,,Not reviewed,,not screened
AMMECR1,0,1,,Not reviewed,,not screened
FLJ44112,0,1,,Not reviewed,,not screened
DTNBP1,0,1,,Not reviewed,,not screened
Hs.452789,0,1,,Not reviewed,,not screened
Hs.565858,0,1,,Not reviewed,,not screened
ROBO2,0,1,,Not reviewed,,not screened
TM4SF11,0,1,,Not reviewed,,not screened
GJB7,0,1,,Not reviewed,,not screened
Hs.287555,0,1,,Not reviewed,,not screened
Hs.579518,0,1,,Not reviewed,,not screened
Hs.413397,0,1,,Not reviewed,,not screened
NFASC,0,1,,Not reviewed,,not screened
LOC643382,0,1,,Not reviewed,,not screened
FAM43B,0,1,,Not reviewed,,not screened
Hs.565351,0,1,,Not reviewed,,not screened
Hs.542505,0,1,,Not reviewed,,not screened
Hs.106359,0,1,,Not reviewed,,not screened
MGC7036,0,1,,Not reviewed,,not screened
Hs.444290,0,1,,Not reviewed,,not screened
FLJ25422,0,1,,Not reviewed,,not screened
RAB30,0,1,,Not reviewed,,not screened
KIAA1622,0,1,,Not reviewed,,not screened
RGSL1,0,1,,Not reviewed,,not screened
Hs.177930,0,1,,Not reviewed,,not screened
Hs.202144,0,1,,Not reviewed,,not screened
Hs.547986,0,1,,Not reviewed,,not screened
GALNT12,0,1,,Not reviewed,,not screened
CDR2,0,1,,Not reviewed,,not screened
Hs.573323,0,1,,Not reviewed,,not screened
Hs.570308,0,1,,Not reviewed,,not screened
LOC401957,0,1,,Not reviewed,,not screened
Hs.440548,0,1,,Not reviewed,,not screened
P4HA3,0,1,,Not reviewed,,not screened
Hs.538787,0,1,,Not reviewed,,not screened
Hs.437163,0,1,,Not reviewed,,not screened
Hs.448979,0,1,,Not reviewed,,not screened
STXBP2,0,1,,Not reviewed,,not screened
C6orf66,0,1,,Not reviewed,,not screened
ZBTB17,0,1,,Not reviewed,,not screened
Hs.162031,0,1,,Not reviewed,,not screened
LOC646730,0,1,,Not reviewed,,not screened
LOC646931,0,1,,Not reviewed,,not screened
SNX15,0,1,,Not reviewed,,not screened
CRYBA2,0,1,,Not reviewed,,not screened
Hs.582934,0,1,,Not reviewed,,not screened
REC8L1,0,1,,Not reviewed,,not screened
Hs.571265,0,1,,Not reviewed,,not screened
LOC642336,0,1,,Not reviewed,,not screened
Hs.577961,0,1,,Not reviewed,,not screened
FLJ20323,0,1,,Not reviewed,,not screened
Hs.171036,0,1,,Not reviewed,,not screened
LOC650013,0,1,,Not reviewed,,not screened
Hs.386630,0,1,,Not reviewed,,not screened
Hs.579533,0,1,,Not reviewed,,not screened
Hs.274728,0,1,,Not reviewed,,not screened
CNTNAP5,0,1,,Not reviewed,,not screened
MALL,0,1,,Not reviewed,,not screened
COQ6,0,1,,Not reviewed,,not screened
Hs.368591,0,1,,Not reviewed,,not screened
Hs.572495,0,1,,Not reviewed,,not screened
OR2L8,0,1,,Not reviewed,,not screened
Hs.541056,0,1,,Not reviewed,,not screened
LOC651175,0,1,,Not reviewed,,not screened
LOC646895,0,1,,Not reviewed,,not screened
LOC645392,0,1,,Not reviewed,,not screened
LOC648664,0,1,,Not reviewed,,not screened
LOC253314,0,1,,Not reviewed,,not screened
Hs.578395,0,1,,Not reviewed,,not screened
EIF2C1,0,1,,Not reviewed,,not screened
Hs.147826,0,1,,Not reviewed,,not screened
PRAMEF10,0,1,,Not reviewed,,not screened
LOC644516,0,1,,Not reviewed,,not screened
BMPER,0,1,,Not reviewed,,not screened
Hs.582144,0,1,,Not reviewed,,not screened
LOC648527,0,1,,Not reviewed,,not screened
Hs.536923,0,1,,Not reviewed,,not screened
BRDG1,0,1,,Not reviewed,,not screened
MOBK1B,0,1,,Not reviewed,,not screened
LOC652259,0,1,,Not reviewed,,not screened
Hs.540541,0,1,,Not reviewed,,not screened
Hs.582654,0,1,,Not reviewed,,not screened
Hs.564475,0,1,,Not reviewed,,not screened
DCAMKL3,0,1,,Not reviewed,,not screened
BCNP1,0,1,,Not reviewed,,not screened
MGC119295,0,1,,Not reviewed,,not screened
LOC644362,0,1,,Not reviewed,,not screened
Hs.578312,0,1,,Not reviewed,,not screened
FEN1,0,1,,Not reviewed,,not screened
FMO5,0,1,,Not reviewed,,not screened
LOC390205,0,1,,Not reviewed,,not screened
LOC647071,0,1,,Not reviewed,,not screened
Hs.542708,0,1,,Not reviewed,,not screened
LOC652688,0,1,,Not reviewed,,not screened
AHSA1,0,1,,Not reviewed,,not screened
Hs.443436,0,1,,Not reviewed,,not screened
LOC644738,0,1,,Not reviewed,,not screened
Hs.541472,0,1,,Not reviewed,,not screened
GPC3,0,1,,Not reviewed,,not screened
Hs.571540,0,1,,Not reviewed,,not screened
Hs.561801,0,1,,Not reviewed,,not screened
NOC2L,0,1,,Not reviewed,,not screened
UGT2B11,0,1,,Not reviewed,,not screened
Hs.544198,0,1,,Not reviewed,,not screened
AASDH,0,1,,Not reviewed,,not screened
RLTPR,0,1,,Not reviewed,,not screened
FGF18,0,1,,Not reviewed,,not screened
Hs.566835,0,1,,Not reviewed,,not screened
Hs.565893,0,1,,Not reviewed,,not screened
PRKCQ,0,1,,Not reviewed,,not screened
SPDY1,0,1,,Not reviewed,,not screened
LOC649891,0,1,,Not reviewed,,not screened
FLJ20582,0,1,,Not reviewed,,not screened
LOC642594,0,1,,Not reviewed,,not screened
Hs.582080,0,1,,Not reviewed,,not screened
TAF9L,0,1,,Not reviewed,,not screened
GALNT9,0,1,,Not reviewed,,not screened
Hs.577082,0,1,,Not reviewed,,not screened
LOC650140,0,1,,Not reviewed,,not screened
LOC644508,0,1,,Not reviewed,,not screened
Hs.573465,0,1,,Not reviewed,,not screened
FLJ32771,0,1,,Not reviewed,,not screened
Hs.125341,0,1,,Not reviewed,,not screened
LOC644951,0,1,,Not reviewed,,not screened
LOC645836,0,1,,Not reviewed,,not screened
LOC651104,0,1,,Not reviewed,,not screened
FMO2,0,1,,Not reviewed,,not screened
C7orf16,0,1,,Not reviewed,,not screened
ORM1,0,1,,Not reviewed,,not screened
Hs.130036,0,1,,Not reviewed,,not screened
CTSE,0,1,,Not reviewed,,not screened
COL11A1,0,1,,Not reviewed,,not screened
LOC653616,0,1,,Not reviewed,,not screened
YBX1,0,1,,Not reviewed,,not screened
ZNF558,0,1,,Not reviewed,,not screened
B3GAT2,0,1,,Not reviewed,,not screened
Hs.541945,0,1,,Not reviewed,,not screened
MMP15,0,1,,Not reviewed,,not screened
LOC342979,0,1,,Not reviewed,,not screened
DDX6,0,1,,Not reviewed,,not screened
TXNRD1,0,1,,Not reviewed,,not screened
TGOLN2,0,1,,Not reviewed,,not screened
Hs.539373,0,1,,Not reviewed,,not screened
Hs.538991,0,1,,Not reviewed,,not screened
LOC643492,0,1,,Not reviewed,,not screened
LOC653744,0,1,,Not reviewed,,not screened
MMP11,0,1,,Not reviewed,,not screened
ARL6IP,0,1,,Not reviewed,,not screened
DPT,0,1,,Not reviewed,,not screened
DSCR1,0,1,,Not reviewed,,not screened
PDIA5,0,1,,Not reviewed,,not screened
OR4F21,0,1,,Not reviewed,,not screened
LOC645216,0,1,,Not reviewed,,not screened
DSCAM,0,1,,Not reviewed,,not screened
OSTbeta,0,1,,Not reviewed,,not screened
WDR39,0,1,,Not reviewed,,not screened
CSPG2,0,1,,Not reviewed,,not screened
ZC3H12A,0,1,,Not reviewed,,not screened
ZFP91,0,1,,Not reviewed,,not screened
Hs.581645,0,1,,Not reviewed,,not screened
LOC651952,0,1,,Not reviewed,,not screened
LOC644403,0,1,,Not reviewed,,not screened
LOC643811,0,1,,Not reviewed,,not screened
Hs.556121,0,1,,Not reviewed,,not screened
CST8,0,1,,Not reviewed,,not screened
Hs.319477,0,1,,Not reviewed,,not screened
KIAA0907,0,1,,Not reviewed,,not screened
LOC653110,0,1,,Not reviewed,,not screened
Hs.534682,0,1,,Not reviewed,,not screened
FLJ46082,0,1,,Not reviewed,,not screened
Hs.572425,0,1,,Not reviewed,,not screened
Hs.540623,0,1,,Not reviewed,,not screened
RNU66,0,1,,Not reviewed,,not screened
LOC647585,0,1,,Not reviewed,,not screened
LOC641808,0,1,,Not reviewed,,not screened
Hs.544929,0,1,,Not reviewed,,not screened
Hs.560429,0,1,,Not reviewed,,not screened
Hs.352191,0,1,,Not reviewed,,not screened
Hs.565250,0,1,,Not reviewed,,not screened
Hs.11308,0,1,,Not reviewed,,not screened
STRA13,0,1,,Not reviewed,,not screened
LOC642853,0,1,,Not reviewed,,not screened
Hs.560888,0,1,,Not reviewed,,not screened
Hs.35496,0,1,,Not reviewed,,not screened
Hs.458845,0,1,,Not reviewed,,not screened
LOC144501,0,1,,Not reviewed,,not screened
FLJ20859,0,1,,Not reviewed,,not screened
UNQ830,0,1,,Not reviewed,,not screened
Hs.540422,0,1,,Not reviewed,,not screened
LOC649496,0,1,,Not reviewed,,not screened
SERPINI1,0,1,,Not reviewed,,not screened
Hs.123474,0,1,,Not reviewed,,not screened
PITPNM1,0,1,,Not reviewed,,not screened
Hs.577227,0,1,,Not reviewed,,not screened
Hs.539586,0,1,,Not reviewed,,not screened
Hs.361403,0,1,,Not reviewed,,not screened
Hs.544848,0,1,,Not reviewed,,not screened
LOC220594,0,1,,Not reviewed,,not screened
ARID3B,0,1,,Not reviewed,,screened
Hs.540936,0,1,,Not reviewed,,not screened
Hs.554355,0,1,,Not reviewed,,not screened
Hs.163346,0,1,,Not reviewed,,not screened
PAPD5,0,1,,Not reviewed,,not screened
GRIK4,0,1,,Not reviewed,,not screened
Hs.579151,0,1,,Not reviewed,,not screened
LOC647439,0,1,,Not reviewed,,not screened
Hs.568757,0,1,,Not reviewed,,not screened
SLC25A19,0,1,,Not reviewed,,not screened
Hs.552128,0,1,,Not reviewed,,not screened
Hs.542204,0,1,,Not reviewed,,not screened
Hs.559884,0,1,,Not reviewed,,not screened
Hs.582247,0,1,,Not reviewed,,not screened
TRIM8,0,1,,Not reviewed,,not screened
Hs.131580,0,1,,Not reviewed,,not screened
HTN3,0,1,,Not reviewed,,not screened
Hs.574671,0,1,,Not reviewed,,not screened
LOC643808,0,1,,Not reviewed,,not screened
TAAR9,0,1,,Not reviewed,,not screened
Hs.432338,0,1,,Not reviewed,,not screened
MGC3020,0,1,,Not reviewed,,not screened
Hs.545094,0,1,,Not reviewed,,not screened
Hs.563527,0,1,,Not reviewed,,not screened
LOC400120,0,1,,Not reviewed,,not screened
SLC6A16,0,1,,Not reviewed,,not screened
TCEAL2,0,1,,Not reviewed,,not screened
CABP5,0,1,,Not reviewed,,not screened
Hs.121146,0,1,,Not reviewed,,not screened
Hs.539562,0,1,,Not reviewed,,not screened
FLJ25715,0,1,,Not reviewed,,not screened
LOC651369,0,1,,Not reviewed,,not screened
Hs.537576,0,1,,Not reviewed,,not screened
Hs.566521,0,1,,Not reviewed,,not screened
Hs.580710,0,1,,Not reviewed,,not screened
Hs.443185,0,1,,Not reviewed,,not screened
SSTR1,0,1,,Not reviewed,,not screened
Hs.546898,0,1,,Not reviewed,,not screened
Hs.544228,0,1,,Not reviewed,,not screened
LOC402110,0,1,,Not reviewed,,not screened
TSSC4,0,1,,Not reviewed,,not screened
REM1,0,1,,Not reviewed,,not screened
QPCTL,0,1,,Not reviewed,,not screened
Hs.583757,0,1,,Not reviewed,,not screened
Hs.543493,0,1,,Not reviewed,,not screened
Hs.543850,0,1,,Not reviewed,,not screened
LOC390933,0,1,,Not reviewed,,not screened
ACADS,0,1,,Not reviewed,,not screened
LOC51152,0,1,,Not reviewed,,not screened
SLC25A22,0,1,,Not reviewed,,not screened
HLA-DPA1,0,1,,Not reviewed,,not screened
Hs.569935,0,1,,Not reviewed,,not screened
RPRM,0,1,,Not reviewed,,not screened
Hs.574129,0,1,,Not reviewed,,not screened
C9orf31,0,1,,Not reviewed,,not screened
LOC440280,0,1,,Not reviewed,,not screened
RAB15,0,1,,Not reviewed,,not screened
ECGF1,0,1,,Not reviewed,,not screened
Hs.495588,0,1,,Not reviewed,,not screened
Hs.545864,0,1,,Not reviewed,,not screened
SOST,0,1,,Not reviewed,,screened
GPR116,0,1,,Not reviewed,,not screened
WDR59,0,1,,Not reviewed,,not screened
Hs.447498,0,1,,Not reviewed,,not screened
LOC652599,0,1,,Not reviewed,,not screened
NFKBIL1,0,1,,Not reviewed,,not screened
LOC648537,0,1,,Not reviewed,,not screened
LOC654020,0,1,,Not reviewed,,not screened
EPB41L1,0,1,,Not reviewed,,not screened
RPL36,0,1,,Not reviewed,,not screened
NUCB1,0,1,,Not reviewed,,not screened
Hs.565418,0,1,,Not reviewed,,not screened
LOC653930,0,1,,Not reviewed,,not screened
OR52E5,0,1,,Not reviewed,,not screened
Hs.571414,0,1,,Not reviewed,,not screened
MYOCD,0,1,,Not reviewed,,not screened
LOC643897,0,1,,Not reviewed,,not screened
LOC644431,0,1,,Not reviewed,,not screened
LOC90580,0,1,,Not reviewed,,not screened
LOC649182,0,1,,Not reviewed,,not screened
TRSPAP1,0,1,,Not reviewed,,not screened
Hs.528183,0,1,,Not reviewed,,not screened
CLCN3,0,1,,Not reviewed,,not screened
TSLP,0,1,,Not reviewed,,not screened
LOC649293,0,1,,Not reviewed,,not screened
NBLA10383,0,1,,Not reviewed,,not screened
LOC647763,0,1,,Not reviewed,,not screened
Hs.559121,0,1,,Not reviewed,,not screened
Hs.444309,0,1,,Not reviewed,,not screened
CDKL3,0,1,,Not reviewed,,not screened
C9orf65,0,1,,Not reviewed,,not screened
RTN4R,0,1,,Not reviewed,,not screened
DKK3,0,1,,Not reviewed,,not screened
LOC644242,0,1,,Not reviewed,,not screened
Hs.543248,0,1,,Not reviewed,,not screened
Hs.520420,0,1,,Not reviewed,,not screened
LOC146325,0,1,,Not reviewed,,not screened
Hs.146595,0,1,,Not reviewed,,not screened
Hs.574198,0,1,,Not reviewed,,not screened
CWF19L1,0,1,,Not reviewed,,not screened
LOC650407,0,1,,Not reviewed,,not screened
Hs.542805,0,1,,Not reviewed,,not screened
PHLPP,0,1,,Not reviewed,,not screened
CCL17,0,1,,Not reviewed,,not screened
LOC652792,0,1,,Not reviewed,,not screened
LOC652775,0,1,,Not reviewed,,not screened
EXOSC9,0,1,,Not reviewed,,not screened
Hs.569508,0,1,,Not reviewed,,not screened
PLP2,0,1,,Not reviewed,,not screened
Hs.570853,0,1,,Not reviewed,,not screened
Hs.525926,0,1,,Not reviewed,,not screened
HSF4,0,1,,Not reviewed,,not screened
STIM2,0,1,,Not reviewed,,not screened
Hs.560571,0,1,,Not reviewed,,not screened
Hs.105570,0,1,,Not reviewed,,not screened
Hs.56147,0,1,,Not reviewed,,not screened
Hs.560329,0,1,,Not reviewed,,not screened
Hs.563132,0,1,,Not reviewed,,not screened
PRB4,0,1,,Not reviewed,,not screened
CHRFAM7A,0,1,,Not reviewed,,not screened
MYOD1,0,1,,Not reviewed,,not screened
AOX2,0,1,,Not reviewed,,not screened
Hs.303217,0,1,,Not reviewed,,not screened
LOC407835,0,1,,Not reviewed,,not screened
LOC643169,0,1,,Not reviewed,,not screened
ST7L,0,1,,Not reviewed,,not screened
Hs.577299,0,1,,Not reviewed,,not screened
Hs.566672,0,1,,Not reviewed,,not screened
Hs.181500,0,1,,Not reviewed,,not screened
Hs.570209,0,1,,Not reviewed,,not screened
Hs.147007,0,1,,Not reviewed,,not screened
FLJ27523,0,1,,Not reviewed,,not screened
Hs.566862,0,1,,Not reviewed,,not screened
Hs.520128,0,1,,Not reviewed,,not screened
Hs.5724,0,1,,Not reviewed,,not screened
Hs.571193,0,1,,Not reviewed,,not screened
CDKL5,0,1,,Not reviewed,,not screened
NALP4,0,1,,Not reviewed,,not screened
Hs.545258,0,1,,Not reviewed,,not screened
Hs.434954,0,1,,Not reviewed,,not screened
STAG3,0,1,,Not reviewed,,not screened
Hs.553331,0,1,,Not reviewed,,not screened
Hs.130394,0,1,,Not reviewed,,not screened
APP,0,1,,Not reviewed,,not screened
LOC647974,0,1,,Not reviewed,,not screened
Hs.142866,0,1,,Not reviewed,,not screened
MRRF,0,1,,Not reviewed,,not screened
LOC152573,0,1,,Not reviewed,,not screened
FLJ22655,0,1,,Not reviewed,,not screened
TMEM84,0,1,,Not reviewed,,not screened
Hs.579714,0,1,,Not reviewed,,not screened
KIAA1559,0,1,,Not reviewed,,not screened
LOC399937,0,1,,Not reviewed,,not screened
Hs.571321,0,1,,Not reviewed,,not screened
LOC646037,0,1,,Not reviewed,,not screened
LOC653051,0,1,,Not reviewed,,not screened
LOC651044,0,1,,Not reviewed,,not screened
Hs.543655,0,1,,Not reviewed,,not screened
TEX2,0,1,,Not reviewed,,not screened
ABCB11,0,1,,Not reviewed,,not screened
Hs.169979,0,1,,Not reviewed,,not screened
ACVRL1,0,1,,Not reviewed,,screened
KIAA1957,0,1,,Not reviewed,,not screened
Hs.566144,0,1,,Not reviewed,,not screened
EIF4EBP1,0,1,,Not reviewed,,not screened
LOC645009,0,1,,Not reviewed,,not screened
Hs.154601,0,1,,Not reviewed,,not screened
LOC643416,0,1,,Not reviewed,,not screened
Hs.545288,0,1,,Not reviewed,,not screened
SORT1,0,1,,Not reviewed,,not screened
MSN,0,1,,Not reviewed,,not screened
Hs.223795,0,1,,Not reviewed,,not screened
Hs.557435,0,1,,Not reviewed,,not screened
Hs.566787,0,1,,Not reviewed,,not screened
RBBP6,0,1,,Not reviewed,,not screened
PTP4A2,0,1,,Not reviewed,,not screened
MGC40168,0,1,,Not reviewed,,not screened
Hs.565870,0,1,,Not reviewed,,not screened
Hs.524845,0,1,,Not reviewed,,not screened
LOC644719,0,1,,Not reviewed,,not screened
LOC647876,0,1,,Not reviewed,,not screened
Hs.439057,0,1,,Not reviewed,,not screened
Hs.382016,0,1,,Not reviewed,,not screened
OR51L1,0,1,,Not reviewed,,not screened
Hs.28694,0,1,,Not reviewed,,not screened
Hs.143909,0,1,,Not reviewed,,not screened
Hs.46701,0,1,,Not reviewed,,not screened
Hs.578784,0,1,,Not reviewed,,not screened
PCDHGB7,0,1,,Not reviewed,,not screened
ARF3,0,1,,Not reviewed,,not screened
SEPT3,0,1,,Not reviewed,,not screened
C1orf57,0,1,,Not reviewed,,not screened
LOC652806,0,1,,Not reviewed,,not screened
FLJ16686,0,1,,Not reviewed,,not screened
ALG1,0,1,,Not reviewed,,not screened
Hs.562110,0,1,,Not reviewed,,not screened
DVL1,0,1,,Not reviewed,,not screened
EAF2,0,1,,Not reviewed,,not screened
ZNF136,0,1,,Not reviewed,,not screened
Hs.581967,0,1,,Not reviewed,,not screened
PTBP2,0,1,,Not reviewed,,not screened
LOC653071,0,1,,Not reviewed,,not screened
Hs.561819,0,1,,Not reviewed,,not screened
Hs.546269,0,1,,Not reviewed,,not screened
Hs.572179,0,1,,Not reviewed,,not screened
Hs.544140,0,1,,Not reviewed,,not screened
HNRPCL1,0,1,,Not reviewed,,not screened
NOSTRIN,0,1,,Not reviewed,,not screened
CDH22,0,1,,Not reviewed,,not screened
Hs.213081,0,1,,Not reviewed,,not screened
TRIM3,0,1,,Not reviewed,,not screened
PSG6,0,1,,Not reviewed,,not screened
GFOD1,0,1,,Not reviewed,,not screened
SLC6A2,0,1,,Not reviewed,,not screened
MPP4,0,1,,Not reviewed,,not screened
Hs.569119,0,1,,Not reviewed,,not screened
ANKMY1,0,1,,Not reviewed,,not screened
REG3A,0,1,,Not reviewed,,not screened
RPS15,0,1,,Not reviewed,,not screened
Hs.553303,0,1,,Not reviewed,,not screened
FAM45A,0,1,,Not reviewed,,not screened
LOC654084,0,1,,Not reviewed,,not screened
Hs.571607,0,1,,Not reviewed,,not screened
LOC391358,0,1,,Not reviewed,,not screened
Hs.563768,0,1,,Not reviewed,,not screened
DKFZp586I1420,0,1,,Not reviewed,,not screened
LOC401911,0,1,,Not reviewed,,not screened
AKAP1,0,1,,Not reviewed,,screened
Hs.27688,0,1,,Not reviewed,,not screened
LOC651896,0,1,,Not reviewed,,not screened
NIPBL,0,1,,Not reviewed,,not screened
Hs.46572,0,1,,Not reviewed,,not screened
Hs.352315,0,1,,Not reviewed,,not screened
Hs.542866,0,1,,Not reviewed,,not screened
Hs.367995,0,1,,Not reviewed,,not screened
KRTAP19-3,0,1,,Not reviewed,,not screened
Hs.570596,0,1,,Not reviewed,,not screened
Hs.584117,0,1,,Not reviewed,,not screened
MSLN,0,1,,Not reviewed,,not screened
UBQLN1,0,1,,Not reviewed,,not screened
LOC649276,0,1,,Not reviewed,,not screened
Hs.434148,0,1,,Not reviewed,,not screened
SH3BGR,0,1,,Not reviewed,,not screened
Hs.212477,0,1,,Not reviewed,,not screened
KIAA0922,0,1,,Not reviewed,,not screened
SMAP1L,0,1,,Not reviewed,,not screened
DIRAS1,0,1,,Not reviewed,,not screened
Hs.539211,0,1,,Not reviewed,,not screened
UBR2,0,1,,Not reviewed,,not screened
RPH3AL,0,1,,Not reviewed,,not screened
Hs.541603,0,1,,Not reviewed,,not screened
RAB11A,0,1,,Not reviewed,,not screened
LOC648700,0,1,,Not reviewed,,not screened
Hs.146250,0,1,,Not reviewed,,not screened
Hs.538480,0,1,,Not reviewed,,not screened
Hs.145909,0,1,,Not reviewed,,not screened
Hs.112981,0,1,,Not reviewed,,not screened
NPR2,0,1,,Not reviewed,,not screened
PLA2G2E,0,1,,Not reviewed,,not screened
BRD9,0,1,,Not reviewed,,screened
