perturbation,Log2 fold change,FDR P value,Cell type affected,Known regulation of macrophage differentiation or CD14,References,screened_by_surdziel
KRTAP10-1,0,1,,Not reviewed,,not screened
Hs.525888,0,1,,Not reviewed,,not screened
OR5T1,0,1,,Not reviewed,,not screened
Hs.120938,0,1,,Not reviewed,,not screened
C11orf48,0,1,,Not reviewed,,not screened
FGF21,0,1,,Not reviewed,,not screened
Hs.158888,0,1,,Not reviewed,,not screened
LOC650295,0,1,,Not reviewed,,not screened
Hs.557358,0,1,,Not reviewed,,not screened
Hs.580163,0,1,,Not reviewed,,not screened
ODF2,0,1,,Not reviewed,,not screened
Hs.112745,0,1,,Not reviewed,,not screened
Hs.386128,0,1,,Not reviewed,,not screened
Hs.538538,0,1,,Not reviewed,,not screened
Hs.579371,0,1,,Not reviewed,,not screened
Hs.554387,0,1,,Not reviewed,,not screened
Hs.132453,0,1,,Not reviewed,,not screened
WDR53,0,1,,Not reviewed,,not screened
CTAG1A,0,1,,Not reviewed,,not screened
ORM2,0,1,,Not reviewed,,not screened
LOC441177,0,1,,Not reviewed,,not screened
Hs.552152,0,1,,Not reviewed,,not screened
Hs.506977,0,1,,Not reviewed,,not screened
ASPH,0,1,,Not reviewed,,not screened
Hs.440552,0,1,,Not reviewed,,not screened
SLC36A2,0,1,,Not reviewed,,not screened
Hs.538645,0,1,,Not reviewed,,not screened
KCNQ4,0,1,,Not reviewed,,not screened
ACTN3,0,1,,Not reviewed,,not screened
Hs.124836,0,1,,Not reviewed,,not screened
SYNCRIP,0,1,,Not reviewed,,not screened
Hs.581085,0,1,,Not reviewed,,not screened
CRTC1,0,1,,Not reviewed,,not screened
LOC648683,0,1,,Not reviewed,,not screened
LOC651096,0,1,,Not reviewed,,not screened
MTX2,0,1,,Not reviewed,,not screened
Hs.570112,0,1,,Not reviewed,,not screened
Hs.582033,0,1,,Not reviewed,,not screened
Hs.191073,0,1,,Not reviewed,,not screened
Hs.580307,0,1,,Not reviewed,,not screened
Hs.565424,0,1,,Not reviewed,,not screened
SEC61A1,0,1,,Not reviewed,,not screened
Hs.579965,0,1,,Not reviewed,,not screened
IRF4,0,1,,Not reviewed,,screened
UTP15,0,1,,Not reviewed,,not screened
Hs.445342,0,1,,Not reviewed,,not screened
Hs.132532,0,1,,Not reviewed,,not screened
Hs.97337,0,1,,Not reviewed,,not screened
LOC649466,0,1,,Not reviewed,,not screened
Hs.560473,0,1,,Not reviewed,,not screened
LOC653673,0,1,,Not reviewed,,not screened
UBE2G2,0,1,,Not reviewed,,not screened
FLJ11331,0,1,,Not reviewed,,not screened
Hs.584216,0,1,,Not reviewed,,not screened
CEBPG,0,1,,Not reviewed,,screened
Hs.580643,0,1,,Not reviewed,,not screened
Hs.564809,0,1,,Not reviewed,,not screened
GNA11,0,1,,Not reviewed,,not screened
C14orf142,0,1,,Not reviewed,,not screened
Hs.562098,0,1,,Not reviewed,,not screened
KIAA0523,0,1,,Not reviewed,,not screened
LOC642843,0,1,,Not reviewed,,not screened
Hs.572270,0,1,,Not reviewed,,not screened
LILRB3,0,1,,Not reviewed,,not screened
COL1A1,0,1,,Not reviewed,,not screened
TSC22D3,0,1,,Not reviewed,,not screened
Hs.525400,0,1,,Not reviewed,,not screened
LOC85391,0,1,,Not reviewed,,not screened
Hs.445071,0,1,,Not reviewed,,not screened
Hs.331426,0,1,,Not reviewed,,not screened
LOC645162,0,1,,Not reviewed,,not screened
LOC642269,0,1,,Not reviewed,,not screened
Hs.582593,0,1,,Not reviewed,,not screened
Hs.564887,0,1,,Not reviewed,,not screened
LIPE,0,1,,Not reviewed,,not screened
EXO1,0,1,,Not reviewed,,not screened
ELMOD1,0,1,,Not reviewed,,not screened
Hs.574845,0,1,,Not reviewed,,not screened
Hs.21375,0,1,,Not reviewed,,not screened
LOC651881,0,1,,Not reviewed,,not screened
Hs.135671,0,1,,Not reviewed,,not screened
Hs.583022,0,1,,Not reviewed,,not screened
SLC6A6,0,1,,Not reviewed,,not screened
Hs.540727,0,1,,Not reviewed,,not screened
STOX1,0,1,,Not reviewed,,not screened
Hs.126742,0,1,,Not reviewed,,not screened
Hs.580671,0,1,,Not reviewed,,not screened
ZNF146,0,1,,Not reviewed,,not screened
FLJ45850,0,1,,Not reviewed,,not screened
C9orf37,0,1,,Not reviewed,,not screened
LOC644923,0,1,,Not reviewed,,not screened
LOC648040,0,1,,Not reviewed,,not screened
Hs.518776,0,1,,Not reviewed,,not screened
KIAA0892,0,1,,Not reviewed,,not screened
VAT1,0,1,,Not reviewed,,not screened
Hs.564385,0,1,,Not reviewed,,not screened
Hs.540264,0,1,,Not reviewed,,not screened
Hs.576373,0,1,,Not reviewed,,not screened
C10orf116,0,1,,Not reviewed,,not screened
Hs.569344,0,1,,Not reviewed,,not screened
Hs.539423,0,1,,Not reviewed,,not screened
OR52E6,0,1,,Not reviewed,,not screened
LOC139116,0,1,,Not reviewed,,not screened
Hs.561112,0,1,,Not reviewed,,not screened
PLK2,0,1,,Not reviewed,,not screened
ADAMTS5,0,1,,Not reviewed,,not screened
TIMM10,0,1,,Not reviewed,,not screened
NAPSA,0,1,,Not reviewed,,not screened
Hs.126405,0,1,,Not reviewed,,not screened
C6orf122,0,1,,Not reviewed,,not screened
LOC348174,0,1,,Not reviewed,,not screened
AKR1C4,0,1,,Not reviewed,,not screened
Hs.583402,0,1,,Not reviewed,,not screened
LOC645343,0,1,,Not reviewed,,not screened
Hs.519819,0,1,,Not reviewed,,not screened
LOC648710,0,1,,Not reviewed,,not screened
Hs.435325,0,1,,Not reviewed,,not screened
LOC652708,0,1,,Not reviewed,,not screened
SULT1A1,0,1,,Not reviewed,,not screened
Hs.577342,0,1,,Not reviewed,,not screened
LOC340113,0,1,,Not reviewed,,not screened
HSPB7,0,1,,Not reviewed,,not screened
Hs.566425,0,1,,Not reviewed,,not screened
CASC2,0,1,,Not reviewed,,not screened
Hs.562843,0,1,,Not reviewed,,not screened
ZNF473,0,1,,Not reviewed,,not screened
Hs.408800,0,1,,Not reviewed,,not screened
Hs.579490,0,1,,Not reviewed,,not screened
OXCT2,0,1,,Not reviewed,,not screened
Hs.555254,0,1,,Not reviewed,,not screened
Hs.580449,0,1,,Not reviewed,,not screened
ATP1B4,0,1,,Not reviewed,,not screened
HTR3C,0,1,,Not reviewed,,not screened
SETD4,0,1,,Not reviewed,,screened
ITPR1,0,1,,Not reviewed,,not screened
TSC2,0,1,,Not reviewed,,not screened
Hs.559739,0,1,,Not reviewed,,not screened
Hs.538028,0,1,,Not reviewed,,not screened
LOC644083,0,1,,Not reviewed,,not screened
MSX2P,0,1,,Not reviewed,,not screened
Hs.548105,0,1,,Not reviewed,,not screened
LOC645784,0,1,,Not reviewed,,not screened
AGGF1,0,1,,Not reviewed,,not screened
Hs.562485,0,1,,Not reviewed,,not screened
Hs.158920,0,1,,Not reviewed,,not screened
LOC399942,0,1,,Not reviewed,,not screened
Hs.561456,0,1,,Not reviewed,,not screened
MATK,0,1,,Not reviewed,,not screened
AKAP6,0,1,,Not reviewed,,not screened
LOC653150,0,1,,Not reviewed,,not screened
Hs.538181,0,1,,Not reviewed,,not screened
TLN2,0,1,,Not reviewed,,not screened
OTUB1,0,1,,Not reviewed,,not screened
Hs.477876,0,1,,Not reviewed,,not screened
Hs.12565,0,1,,Not reviewed,,not screened
Hs.440343,0,1,,Not reviewed,,not screened
GCC1,0,1,,Not reviewed,,not screened
Hs.565657,0,1,,Not reviewed,,not screened
Hs.545381,0,1,,Not reviewed,,not screened
FIBP,0,1,,Not reviewed,,not screened
Hs.14479,0,1,,Not reviewed,,not screened
Hs.580377,0,1,,Not reviewed,,not screened
Hs.564896,0,1,,Not reviewed,,not screened
ZNF42,0,1,,Not reviewed,,not screened
PDZD7,0,1,,Not reviewed,,not screened
KIAA1008,0,1,,Not reviewed,,not screened
LOC442060,0,1,,Not reviewed,,not screened
C1orf111,0,1,,Not reviewed,,not screened
LOC652437,0,1,,Not reviewed,,not screened
Hs.385774,0,1,,Not reviewed,,not screened
Hs.526748,0,1,,Not reviewed,,not screened
Hs.576997,0,1,,Not reviewed,,not screened
Hs.563783,0,1,,Not reviewed,,not screened
LOC442299,0,1,,Not reviewed,,not screened
Hs.223678,0,1,,Not reviewed,,not screened
OR3A4,0,1,,Not reviewed,,not screened
FLJ46361,0,1,,Not reviewed,,not screened
Hs.573902,0,1,,Not reviewed,,not screened
LOC645721,0,1,,Not reviewed,,not screened
Hs.244858,0,1,,Not reviewed,,not screened
LOC641977,0,1,,Not reviewed,,not screened
Hs.127380,0,1,,Not reviewed,,not screened
LOC652815,0,1,,Not reviewed,,not screened
LOC653412,0,1,,Not reviewed,,not screened
Hs.575712,0,1,,Not reviewed,,not screened
Hs.545253,0,1,,Not reviewed,,not screened
DCUN1D2,0,1,,Not reviewed,,not screened
DFFA,0,1,,Not reviewed,,not screened
DSU,0,1,,Not reviewed,,not screened
Hs.537956,0,1,,Not reviewed,,not screened
RCCD1,0,1,,Not reviewed,,not screened
Hs.529324,0,1,,Not reviewed,,not screened
RNF32,0,1,,Not reviewed,,not screened
LOC647634,0,1,,Not reviewed,,not screened
CNOT4,0,1,,Not reviewed,,not screened
REG1A,0,1,,Not reviewed,,not screened
CSAG1,0,1,,Not reviewed,,not screened
PADI1,0,1,,Not reviewed,,not screened
ARHGAP4,0,1,,Not reviewed,,not screened
Hs.545485,0,1,,Not reviewed,,not screened
Hs.539753,0,1,,Not reviewed,,not screened
LOC642120,0,1,,Not reviewed,,not screened
LOC642688,0,1,,Not reviewed,,not screened
Hs.564790,0,1,,Not reviewed,,not screened
ZBTB9,0,1,,Not reviewed,,not screened
Hs.146899,0,1,,Not reviewed,,not screened
Hs.441075,0,1,,Not reviewed,,not screened
PAG1,0,1,,Not reviewed,,not screened
RPS27A,0,1,,Not reviewed,,not screened
UNQ6411,0,1,,Not reviewed,,not screened
Hs.575153,0,1,,Not reviewed,,not screened
Hs.569250,0,1,,Not reviewed,,not screened
Hs.534828,0,1,,Not reviewed,,not screened
FLJ21827,0,1,,Not reviewed,,not screened
LOC129870,0,1,,Not reviewed,,not screened
ADAMTS2,0,1,,Not reviewed,,not screened
PRPF38A,0,1,,Not reviewed,,not screened
LOC644326,0,1,,Not reviewed,,not screened
TRUB1,0,1,,Not reviewed,,not screened
LOC645287,0,1,,Not reviewed,,not screened
LOC653950,0,1,,Not reviewed,,not screened
Hs.537601,0,1,,Not reviewed,,not screened
LXN,0,1,,Not reviewed,,not screened
RGAG4,0,1,,Not reviewed,,not screened
Hs.564833,0,1,,Not reviewed,,not screened
KCNH2,0,1,,Not reviewed,,not screened
RTN1,0,1,,Not reviewed,,not screened
GSDML,0,1,,Not reviewed,,not screened
KIAA1267,0,1,,Not reviewed,,not screened
Hs.545128,0,1,,Not reviewed,,not screened
CNTN1,0,1,,Not reviewed,,not screened
LDLRAD3,0,1,,Not reviewed,,not screened
KIAA1838,0,1,,Not reviewed,,not screened
Hs.559581,0,1,,Not reviewed,,not screened
QPCT,0,1,,Not reviewed,,not screened
PTTG1,0,1,,Not reviewed,,not screened
EMR1,0,1,,Not reviewed,,not screened
PHACS,0,1,,Not reviewed,,not screened
Hs.268250,0,1,,Not reviewed,,not screened
MSL2L1,0,1,,Not reviewed,,not screened
CAPN13,0,1,,Not reviewed,,not screened
Hs.550430,0,1,,Not reviewed,,not screened
LOC641982,0,1,,Not reviewed,,not screened
LOC645416,0,1,,Not reviewed,,not screened
Hs.573494,0,1,,Not reviewed,,not screened
CHI3L1,0,1,,Not reviewed,,not screened
Hs.534773,0,1,,Not reviewed,,not screened
Hs.579522,0,1,,Not reviewed,,not screened
Hs.225887,0,1,,Not reviewed,,not screened
FLJ14186,0,1,,Not reviewed,,not screened
LOC57228,0,1,,Not reviewed,,not screened
Hs.148450,0,1,,Not reviewed,,not screened
OR1G1,0,1,,Not reviewed,,not screened
LOC647250,0,1,,Not reviewed,,not screened
LOC645493,0,1,,Not reviewed,,not screened
PRSS1,0,1,,Not reviewed,,not screened
LOC652905,0,1,,Not reviewed,,not screened
MAP1LC3C,0,1,,Not reviewed,,not screened
FLJ21945,0,1,,Not reviewed,,not screened
Hs.224866,0,1,,Not reviewed,,not screened
LOC651562,0,1,,Not reviewed,,not screened
LOC651006,0,1,,Not reviewed,,not screened
Hs.444692,0,1,,Not reviewed,,not screened
Hs.543211,0,1,,Not reviewed,,not screened
LOC649374,0,1,,Not reviewed,,not screened
LPAL2,0,1,,Not reviewed,,not screened
VWCE,0,1,,Not reviewed,,not screened
Hs.531005,0,1,,Not reviewed,,not screened
Hs.554311,0,1,,Not reviewed,,not screened
MPP6,0,1,,Not reviewed,,not screened
CBX2,0,1,,Not reviewed,,screened
Hs.574081,0,1,,Not reviewed,,not screened
FOXE1,0,1,,Not reviewed,,not screened
LOC650943,0,1,,Not reviewed,,not screened
MICAL1,0,1,,Not reviewed,,not screened
MB,0,1,,Not reviewed,,not screened
PLA2G3,0,1,,Not reviewed,,not screened
MGC5509,0,1,,Not reviewed,,not screened
SELM,0,1,,Not reviewed,,not screened
LOC643913,0,1,,Not reviewed,,not screened
ALG5,0,1,,Not reviewed,,not screened
ADIPOR2,0,1,,Not reviewed,,not screened
REEP3,0,1,,Not reviewed,,not screened
LOC387758,0,1,,Not reviewed,,not screened
Hs.543905,0,1,,Not reviewed,,not screened
MCART2,0,1,,Not reviewed,,not screened
FAAH,0,1,,Not reviewed,,not screened
RPA1,0,1,,Not reviewed,,not screened
KLHL6,0,1,,Not reviewed,,not screened
NPL,0,1,,Not reviewed,,not screened
Hs.540670,0,1,,Not reviewed,,not screened
IZUMO1,0,1,,Not reviewed,,not screened
SOCS5,0,1,,Not reviewed,,not screened
Hs.539915,0,1,,Not reviewed,,not screened
LOC145814,0,1,,Not reviewed,,not screened
C10orf28,0,1,,Not reviewed,,not screened
MGST1,0,1,,Not reviewed,,not screened
Hs.542939,0,1,,Not reviewed,,not screened
LOC642504,0,1,,Not reviewed,,not screened
SDHAL2,0,1,,Not reviewed,,not screened
MAP3K10,0,1,,Not reviewed,,not screened
Hs.554089,0,1,,Not reviewed,,not screened
PPA1,0,1,,Not reviewed,,not screened
Hs.574275,0,1,,Not reviewed,,not screened
Hs.545351,0,1,,Not reviewed,,not screened
CAST,0,1,,Not reviewed,,not screened
MASK,0,1,,Not reviewed,,not screened
MGC39372,0,1,,Not reviewed,,not screened
LOC644964,0,1,,Not reviewed,,not screened
CXorf48,0,1,,Not reviewed,,not screened
GCK,0,1,,Not reviewed,,not screened
Hs.369362,0,1,,Not reviewed,,not screened
Hs.573523,0,1,,Not reviewed,,not screened
Hs.129800,0,1,,Not reviewed,,not screened
ANKS1B,0,1,,Not reviewed,,not screened
Hs.443406,0,1,,Not reviewed,,not screened
UNC13D,0,1,,Not reviewed,,not screened
LOC651101,0,1,,Not reviewed,,not screened
HBII-202,0,1,,Not reviewed,,not screened
Hs.537442,0,1,,Not reviewed,,not screened
MAGEC1,0,1,,Not reviewed,,not screened
SPATA19,0,1,,Not reviewed,,not screened
LOC652373,0,1,,Not reviewed,,not screened
RPH3A,0,1,,Not reviewed,,screened
Hs.539161,0,1,,Not reviewed,,not screened
Hs.562396,0,1,,Not reviewed,,not screened
Hs.479551,0,1,,Not reviewed,,not screened
LOC339778,0,1,,Not reviewed,,not screened
ADI1,0,1,,Not reviewed,,not screened
Hs.576812,0,1,,Not reviewed,,not screened
Hs.571923,0,1,,Not reviewed,,not screened
RPL23A,0,1,,Not reviewed,,not screened
TMPO,0,1,,Not reviewed,,not screened
MAPK8IP3,0,1,,Not reviewed,,not screened
LOC92497,0,1,,Not reviewed,,not screened
ABHD10,0,1,,Not reviewed,,not screened
LOC650553,0,1,,Not reviewed,,not screened
LOC644634,0,1,,Not reviewed,,not screened
LOC647540,0,1,,Not reviewed,,not screened
Hs.571999,0,1,,Not reviewed,,not screened
RUVBL1,0,1,,Not reviewed,,screened
Hs.560503,0,1,,Not reviewed,,not screened
LOC653054,0,1,,Not reviewed,,not screened
Hs.116243,0,1,,Not reviewed,,not screened
FOXN4,0,1,,Not reviewed,,not screened
Hs.563186,0,1,,Not reviewed,,not screened
Hs.498479,0,1,,Not reviewed,,not screened
C9orf72,0,1,,Not reviewed,,not screened
LOC642028,0,1,,Not reviewed,,not screened
Hs.568559,0,1,,Not reviewed,,not screened
Hs.541177,0,1,,Not reviewed,,not screened
C6orf79,0,1,,Not reviewed,,not screened
CBX3,0,1,,Not reviewed,,screened
C3orf31,0,1,,Not reviewed,,not screened
LOC651301,0,1,,Not reviewed,,not screened
NRG3,0,1,,Not reviewed,,not screened
Hs.545796,0,1,,Not reviewed,,not screened
PDCD6,0,1,,Not reviewed,,not screened
Hs.185918,0,1,,Not reviewed,,not screened
TCP10L,0,1,,Not reviewed,,not screened
LOC641940,0,1,,Not reviewed,,not screened
NES,0,1,,Not reviewed,,not screened
PUS7,0,1,,Not reviewed,,not screened
Hs.557940,0,1,,Not reviewed,,not screened
Hs.551860,0,1,,Not reviewed,,not screened
DCST2,0,1,,Not reviewed,,not screened
Hs.563458,0,1,,Not reviewed,,not screened
DOCK5,0,1,,Not reviewed,,not screened
Hs.542213,0,1,,Not reviewed,,not screened
IRF7,0,1,,Not reviewed,,screened
Hs.566845,0,1,,Not reviewed,,not screened
TRIM4,0,1,,Not reviewed,,not screened
LOC653563,0,1,,Not reviewed,,not screened
SENP7,0,1,,Not reviewed,,not screened
GTF2A2,0,1,,Not reviewed,,not screened
PRSS21,0,1,,Not reviewed,,not screened
LOC642584,0,1,,Not reviewed,,not screened
LOC646207,0,1,,Not reviewed,,not screened
