perturbation,brunello.neg.score,brunello.neg.p.value,brunello.neg.fdr,brunello.neg.goodsgrna,brunello.neg.lfc,brunello.pos.score,brunello.pos.p.value,brunello.pos.fdr,brunello.pos.goodsgrna,brunello.pos.lfc,gecko.num,gecko.neg.score,gecko.neg.p.value,gecko.neg.fdr,gecko.neg.goodsgrna,gecko.neg.lfc,gecko.pos.score,gecko.pos.p.value,gecko.pos.fdr,gecko.pos.goodsgrna,gecko.pos.lfc
MAP7D2,0.94094,0.94093,1,0,0.25472,0.047293,0.11372,1,2,0.25472,3,0.91256,0.91263,1,0,0.074883,0.71252,0.71285,1,1,0.074883
MAP7D3,0.92477,0.92484,1,0,0.30556,0.014814,0.045678,0.891783,3,0.30556,3,0.28484,0.41286,1,1,0.029135,0.31821,0.43424,1,1,0.029135
MAP9,0.78758,0.7873,1,1,-0.057626,0.63708,0.66947,1,1,-0.057626,3,0.86446,0.86448,1,0,0.006426,0.2574,0.38426,0.997874,1,0.006426
MAPK1,1,1,1,0,1.6678,1.3E-08,2.46E-07,0.000124,4,1.6678,3,1,1,1,0,1.732,1.62E-10,2.47E-07,0.000707,3,1.732
MAPK10,0.24031,0.37015,1,2,0.024363,0.23842,0.36996,1,2,0.024363,3,0.62614,0.63558,1,1,0.076273,0.7134,0.71367,1,1,0.076273
MAPK11,0.35554,0.49611,1,2,-0.20741,0.2083,0.3374,1,1,-0.20741,3,0.74729,0.74753,1,0,0.35226,0.030861,0.07733,0.974723,2,0.35226
MAPK12,0.2161,0.34379,1,1,-0.0002247,0.82416,0.824,1,0,-0.0002247,3,0.62251,0.63262,1,1,0.19181,0.15986,0.26066,0.992729,2,0.19181
MAPK13,0.72976,0.73481,1,1,0.33285,0.011367,0.037765,0.847069,3,0.33285,3,0.02819,0.071121,0.942961,2,-0.12611,0.10401,0.18747,0.989963,1,-0.12611
MAPK14,0.99873,0.99872,1,0,0.24286,0.0012697,0.0045906,0.301996,4,0.24286,3,0.88382,0.88389,1,0,0.029891,0.69719,0.69824,1,1,0.029891
MAPK15,0.23668,0.36625,1,1,0.031188,0.88643,0.88631,1,0,0.031188,3,0.41795,0.48909,1,1,-0.0075009,0.10073,0.18314,0.988142,1,-0.0075009
MAPK1IP1L,0.26112,0.37688,1,1,-0.28216,0.48056,0.51821,1,1,-0.28216,3,0.43328,0.49851,1,1,0.015341,0.76995,0.77022,1,0,0.015341
