GSM4293098	KLF9	dexamethasone	04h
GSM4293099	KLF9	dexamethasone	04h
GSM4293100	KLF9	dexamethasone	04h
GSM4293101	KLF9	dexamethasone	08h
GSM4293102	KLF9	dexamethasone	08h
GSM4293103	KLF9	dexamethasone	08h
GSM4293104	KLF9	dexamethasone	12h
GSM4293105	KLF9	dexamethasone	12h
GSM4293106	KLF9	dexamethasone	12h
GSM4293107	OCT4	dexamethasone	00h
GSM4293108	OCT4	dexamethasone	00h
GSM4293109	OCT4	dexamethasone	00h
GSM4293110	OCT4	dexamethasone	01h
GSM4293111	OCT4	dexamethasone	01h
GSM4293112	OCT4	dexamethasone	01h
GSM4293113	OCT4	dexamethasone	04h
GSM4293114	OCT4	dexamethasone	04h
GSM4293115	OCT4	dexamethasone	04h
GSM4293116	OCT4	dexamethasone	08h
GSM4293117	OCT4	dexamethasone	08h
GSM4293118	OCT4	dexamethasone	08h
GSM4293119	OCT4	dexamethasone	12h
GSM4293120	OCT4	dexamethasone	12h
GSM4293121	OCT4	dexamethasone	12h
GSM4293122	TFCP2L1	dexamethasone	00h
GSM4293123	TFCP2L1	dexamethasone	00h
GSM4293124	TFCP2L1	dexamethasone	00h
GSM4293125	TFCP2L1	dexamethasone	01h
GSM4293126	TFCP2L1	dexamethasone	01h
GSM4293127	TFCP2L1	dexamethasone	01h
GSM4293128	TFCP2L1	dexamethasone	04h
GSM4293129	TFCP2L1	dexamethasone	04h
GSM4293130	TFCP2L1	dexamethasone	04h
GSM4293131	TFCP2L1	dexamethasone	08h
GSM4293132	TFCP2L1	dexamethasone	08h
GSM4293133	TFCP2L1	dexamethasone	08h
GSM4293134	TFCP2L1	dexamethasone	12h
GSM4293135	TFCP2L1	dexamethasone	12h
GSM4293942	TFCP2L1	dexamethasone	12h
